Species	Class	Superorder	Order	Family	Genus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mustela putorius furo	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Mustela
Myotis lucifugus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis
Ochotona princeps	Mammalia	Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona
Ornithorhynchus anatinus	Mammalia	Unclassified	Monotremata	Ornithorhynchidae	Ornithorhynchus
Oryctolagus cuniculus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus
Otolemur garnettii	Mammalia	Euarchontoglires	Primates	Galagidae	Otolemur
Ovis aries	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ovis
Pan troglodytes	Mammalia	Euarchontoglires	Primates	Hominidae	Pan
Papio anubis	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Papio
Parus major	Aves	Neognathae	Passeriformes	Paridae	Parus
Phodopus sungorus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Phodopus
Phylloscopus plumbeitarsus	Aves	Neognathae	Passeriformes	Phylloscopidae	Phylloscopus
Phylloscopus trochiloides viridanus	Aves	Neognathae	Passeriformes	Phylloscopidae	Phylloscopus
Pongo abelii	Mammalia	Euarchontoglires	Primates	Hominidae	Pongo
Procavia capensis	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Procavia
Pteropus vampyrus	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus
Rattus norvegicus	Mammalia	Euarchontoglires	Rodentia	Muridae	Rattus
Sarcophilus harrisii	Mammalia	Unclassified	Dasyuromorphia	Dasyuridae	Sarcophilus
Sorex araneus	Mammalia	Laurasiatheria	Insectivora	Soricidae	Sorex
Sturnus vulgaris	Aves	Neognathae	Passeriformes	Sturnidae	Sturnus
Sus scrofa	Mammalia	Laurasiatheria	Unclassified	Suidae	Sus
Tarsius syrichta	Mammalia	Euarchontoglires	Primates	Tarsiidae	Tarsius
Tupaia belangeri	Mammalia	Euarchontoglires	Scandentia	Tupaiidae	Tupaia
Tursiops truncatus	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Tursiops
Vicugna pacos	Mammalia	Laurasiatheria	Unclassified	Camelidae	Vicugna
Bos indicus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bos
Microtus agrestis	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Microtus
Gulo gulo	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo
Guentherus altivela	Actinopteri	Ateleopodia	Ateleopodiformes	Ateleopodidae	Guentherus
Grus japonensis	Aves	Neognathae	Gruiformes	Gruidae	Grus
Graphiurus murinus	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus
Grammomys surdaster	Mammalia	Euarchontoglires	Rodentia	Muridae	Grammomys
Gopherus evgoodei	Unclassified	Unclassified	Testudines	Testudinidae	Gopherus
Gopherus agassizii	Unclassified	Unclassified	Testudines	Testudinidae	Gopherus
Globicephala melas	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Globicephala
Glis glis	Mammalia	Euarchontoglires	Rodentia	Gliridae	Glis
Gambusia affinis	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Gambusia
Gallirallus okinawae	Aves	Neognathae	Gruiformes	Rallidae	Gallirallus
Gadus chalcogrammus	Actinopteri	Unclassified	Gadiformes	Gadidae	Gadus
Gadiculus argenteus	Actinopteri	Unclassified	Gadiformes	Gadidae	Gadiculus
Felis nigripes	Mammalia	Laurasiatheria	Carnivora	Felidae	Felis
Eumetopias jubatus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Eumetopias
Eulemur fulvus	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur
Eschrichtius robustus	Mammalia	Laurasiatheria	Cetacea	Eschrichtiidae	Eschrichtius
Erythrura gouldiae	Aves	Neognathae	Passeriformes	Estrildidae	Erythrura
Erythrocebus patas	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Erythrocebus
Erpetoichthys calabaricus	Cladistia	Unclassified	Polypteriformes	Polypteridae	Erpetoichthys
Equus zebra hartmannae	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus kiang	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus hemionus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus grevyi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus burchellii quagga	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus burchellii boehmi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus asinus somalicus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Eptatretus burgeri	Unclassified	Unclassified	Myxiniformes	Myxinidae	Eptatretus
Epinephelus moara	Actinopteri	Unclassified	Perciformes	Serranidae	Epinephelus
Epinephelus lanceolatus	Actinopteri	Unclassified	Perciformes	Serranidae	Epinephelus
Eopsaltria australis	Aves	Neognathae	Passeriformes	Petroicidae	Eopsaltria
Eonycteris spelaea	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Eonycteris
Enhydra lutris	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Enhydra
Emydura subglobosa	Unclassified	Unclassified	Testudines	Chelidae	Emydura
Emydocephalus ijimae	Unclassified	Lepidosauria	Squamata	Hydrophiidae	Emydocephalus
Empidonax traillii	Aves	Neognathae	Passeriformes	Tyrannidae	Empidonax
Dromaius novaehollandiae	Aves	Palaeognathae	Casuariiformes	Dromaiidae	Dromaius
Dolichotis patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis
Dipodomys stephensi	Mammalia	Euarchontoglires	Rodentia	Heteromyidae	Dipodomys
Diphyllodes magnificus	Aves	Neognathae	Passeriformes	Paradisaeidae	Diphyllodes
Dinomys branickii	Mammalia	Euarchontoglires	Rodentia	Dinomyidae	Dinomys
Diceros bicornis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Diceros
Dicerorhinus sumatrensis sumatrensis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Dicerorhinus
Desmodus rotundus	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus
Dermatemys mawii	Unclassified	Unclassified	Testudines	Dermatemydidae	Dermatemys
Dermochelys coriacea	Unclassified	Unclassified	Testudines	Dermochelyidae	Dermochelys
Denticeps clupeoides	Actinopteri	Unclassified	Clupeiformes	Denticipitidae	Denticeps
Delphinapterus leucas	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Delphinapterus
Daubentonia madagascariensis	Mammalia	Euarchontoglires	Primates	Daubentoniidae	Daubentonia
Danionella dracula	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Danionella
Damaliscus lunatus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Damaliscus
Cuora mccordi	Unclassified	Unclassified	Testudines	Geoemydidae	Cuora
Cuora amboinensis	Unclassified	Unclassified	Testudines	Geoemydidae	Cuora
Ctenomys sociabilis	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys
Cryptoprocta ferox	Mammalia	Laurasiatheria	Carnivora	Eupleridae	Cryptoprocta
Crotalus viridis	Unclassified	Lepidosauria	Squamata	Viperidae	Crotalus
Crocidura indochinensis	Mammalia	Laurasiatheria	Insectivora	Soricidae	Crocidura
Cricetomys gambianus	Mammalia	Euarchontoglires	Rodentia	Nesomyidae	Cricetomys
Craseonycteris thonglongyai	Mammalia	Laurasiatheria	Chiroptera	Craseonycteridae	Craseonycteris
Coryphaenoides rupestris	Actinopteri	Unclassified	Gadiformes	Macrouridae	Coryphaenoides
Corvus hawaiiensis	Aves	Neognathae	Passeriformes	Corvidae	Corvus
Corapipo altera	Aves	Neognathae	Passeriformes	Pipridae	Corapipo
Connochaetes taurinus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Connochaetes
Collichthys lucidus	Actinopteri	Unclassified	Unclassified	Sciaenidae	Collichthys
Clarias batrachus	Actinopteri	Characiphysae	Siluriformes	Clariidae	Clarias
Ciconia boyciana	Aves	Neognathae	Ciconiiformes	Ciconiidae	Ciconia
Cirrhinus molitorella	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cirrhinus
Cicinnurus regius	Aves	Neognathae	Passeriformes	Paradisaeidae	Cicinnurus
Chrysolophus pictus	Aves	Neognathae	Galliformes	Phasianidae	Chrysolophus
Chromis chromis	Actinopteri	Unclassified	Unclassified	Pomacentridae	Chromis
Choloepus didactylus	Mammalia	Xenarthra	Pilosa	Megalonychidae	Choloepus
Chiloscyllium punctatum	Chondrichthyes	Galeoidea	Orectolobiformes	Hemiscylliidae	Chiloscyllium
Chiloscyllium plagiosum	Chondrichthyes	Galeoidea	Orectolobiformes	Hemiscylliidae	Chiloscyllium
Chelydra serpentina	Unclassified	Unclassified	Testudines	Chelydridae	Chelydra
Chelonoidis abingdonii	Unclassified	Unclassified	Testudines	Testudinidae	Chelonoidis
Chatrabus melanurus	Actinopteri	Unclassified	Batrachoidiformes	Batrachoididae	Chatrabus
Chaetophractus vellerosus	Mammalia	Xenarthra	Cingulata	Chlamyphoridae	Chaetophractus
Chaenocephalus aceratus	Actinopteri	Unclassified	Perciformes	Channichthyidae	Chaenocephalus
Cervus elaphus hippelaphus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Cervus
Ceratotherium simum cottoni	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium
Cebus albifrons	Mammalia	Euarchontoglires	Primates	Cebidae	Cebus
Cavia tschudii	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
Catagonus wagneri	Mammalia	Laurasiatheria	Unclassified	Tayassuidae	Catagonus
Casuarius casuarius	Aves	Palaeognathae	Casuariiformes	Casuariidae	Casuarius
Castor canadensis	Mammalia	Euarchontoglires	Rodentia	Castoridae	Castor
Carollia perspicillata	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Carollia
Carettochelys insculpta	Unclassified	Unclassified	Testudines	Carettochelyidae	Carettochelys
Capromys pilorides	Mammalia	Euarchontoglires	Rodentia	Capromyidae	Capromys
Capra sibirica	Mammalia	Laurasiatheria	Unclassified	Bovidae	Capra
Canis lupus dingo	Mammalia	Laurasiatheria	Carnivora	Canidae	Canis
Callorhinus ursinus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Callorhinus
Callipepla squamata	Aves	Neognathae	Galliformes	Odontophoridae	Callipepla
Eurynorhynchus pygmeus	Aves	Neognathae	Charadriiformes	Scolopacidae	Eurynorhynchus
Bubo blakistoni	Aves	Neognathae	Strigiformes	Strigidae	Bubo
Brotula barbata	Actinopteri	Unclassified	Ophidiiformes	Ophidiidae	Brotula
Brosme brosme	Actinopteri	Unclassified	Gadiformes	Lotidae	Brosme
Bregmaceros cantori	Actinopteri	Unclassified	Gadiformes	Bregmacerotidae	Bregmaceros
Bradypus variegatus	Mammalia	Xenarthra	Pilosa	Bradypodidae	Bradypus
Boreogadus saida	Actinopteri	Unclassified	Gadiformes	Gadidae	Boreogadus
Beryx splendens	Actinopteri	Unclassified	Beryciformes	Berycidae	Beryx
Betta splendens	Actinopteri	Unclassified	Anabantiformes	Osphronemidae	Betta
Benthosema glaciale	Actinopteri	Unclassified	Myctophiformes	Myctophidae	Benthosema
Beatragus hunteri	Mammalia	Laurasiatheria	Unclassified	Bovidae	Beatragus
Bambusicola thoracicus	Aves	Neognathae	Galliformes	Phasianidae	Bambusicola
Bathygadus melanobranchus	Actinopteri	Unclassified	Gadiformes	Macrouridae	Bathygadus
Axis porcinus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Axis
Athene cunicularia	Aves	Neognathae	Strigiformes	Strigidae	Athene
Astatotilapia calliptera	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Astatotilapia
Arctogadus glacialis	Actinopteri	Unclassified	Gadiformes	Gadidae	Arctogadus
Arctocephalus gazella	Mammalia	Laurasiatheria	Carnivora	Otariidae	Arctocephalus
Arapaima gigas	Actinopteri	Unclassified	Osteoglossiformes	Osteoglossidae	Arapaima
Apteryx rowi	Aves	Palaeognathae	Apterygiformes	Apterygidae	Apteryx
Apteryx haastii	Aves	Palaeognathae	Apterygiformes	Apterygidae	Apteryx
Antrozous pallidus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Antrozous
Antilocapra americana	Mammalia	Laurasiatheria	Unclassified	Antilocapridae	Antilocapra
Antennarius striatus	Actinopteri	Unclassified	Lophiiformes	Antennariidae	Antennarius
Anoura caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura
Anomalopteryx didiformis	Aves	Palaeognathae	Dinornithiformes	Emeidae	Anomalopteryx
Anas zonorhyncha	Aves	Neognathae	Anseriformes	Anatidae	Anas
Anabas testudineus	Actinopteri	Unclassified	Anabantiformes	Anabantidae	Anabas
Anabarilius grahami	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Anabarilius
Amphiprion percula	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion
Amphiprion ocellaris	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion
Amphiprion frenatus	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion
Alcelaphus buselaphus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Alcelaphus
Alouatta palliata	Mammalia	Euarchontoglires	Primates	Atelidae	Alouatta
Ageneiosus inermis	Actinopteri	Characiphysae	Siluriformes	Auchenipteridae	Ageneiosus
Aepyceros melampus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Aepyceros
Acridotheres javanicus	Aves	Neognathae	Passeriformes	Sturnidae	Acridotheres
Acomys cahirinus	Mammalia	Euarchontoglires	Rodentia	Muridae	Acomys
Acipenser ruthenus	Actinopteri	Unclassified	Acipenseriformes	Acipenseridae	Acipenser
Zeus faber	Actinopteri	Unclassified	Zeiformes	Zeidae	Zeus
Zapus hudsonius	Mammalia	Euarchontoglires	Rodentia	Dipodidae	Zapus
Zalophus californianus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Zalophus
Xerus inauris	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Xerus
Vulpes vulpes	Mammalia	Laurasiatheria	Carnivora	Canidae	Vulpes
Vulpes lagopus	Mammalia	Laurasiatheria	Carnivora	Canidae	Vulpes
Vombatus ursinus	Mammalia	Unclassified	Diprotodontia	Vombatidae	Vombatus
Varanus komodoensis	Unclassified	Lepidosauria	Squamata	Varanidae	Varanus
Ursus arctos horribilis	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ursus
Ursus americanus	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ursus
Uropsilus gracilis	Mammalia	Laurasiatheria	Insectivora	Talpidae	Uropsilus
Urocitellus parryii	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Urocitellus
Urile pelagicus	Aves	Neognathae	Pelecaniformes	Phalacrocoracidae	Urile
Uria lomvia	Aves	Neognathae	Charadriiformes	Alcidae	Uria
Typhlichthys subterraneus	Actinopteri	Unclassified	Percopsiformes	Amblyopsidae	Typhlichthys
Tympanuchus cupido	Aves	Neognathae	Galliformes	Phasianidae	Tympanuchus
Tursiops aduncus	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Tursiops
Trisopterus minutus	Actinopteri	Unclassified	Gadiformes	Gadidae	Trisopterus
Tragulus javanicus	Mammalia	Laurasiatheria	Unclassified	Tragulidae	Tragulus
Trachinotus ovatus	Actinopteri	Unclassified	Carangiformes	Carangidae	Trachinotus
Tonatia saurophila	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Tonatia
Tolypeutes matacus	Mammalia	Xenarthra	Cingulata	Chlamyphoridae	Tolypeutes
Thymallus thymallus	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Thymallus
Thunnus thynnus	Actinopteri	Unclassified	Scombriformes	Scombridae	Thunnus
Thunnus albacares	Actinopteri	Unclassified	Scombriformes	Scombridae	Thunnus
Thryonomys swinderianus	Mammalia	Euarchontoglires	Rodentia	Thryonomyidae	Thryonomys
Theropithecus gelada	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Theropithecus
Terrapene mexicana triunguis	Unclassified	Unclassified	Testudines	Emydidae	Terrapene
Tenualosa ilisha	Actinopteri	Unclassified	Clupeiformes	Clupeidae	Tenualosa
Taxidea taxus	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Taxidea
Tapirus indicus	Mammalia	Laurasiatheria	Perissodactyla	Tapiridae	Tapirus
Tamandua tetradactyla	Mammalia	Xenarthra	Pilosa	Myrmecophagidae	Tamandua
Takifugu bimaculatus	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu
Tachysurus fulvidraco	Actinopteri	Characiphysae	Siluriformes	Bagridae	Tachysurus
Tachycineta bicolor	Aves	Neognathae	Passeriformes	Hirundinidae	Tachycineta
Syngnathus scovelli	Actinopteri	Unclassified	Syngnathiformes	Syngnathidae	Syngnathus
Syncerus caffer	Mammalia	Laurasiatheria	Unclassified	Bovidae	Syncerus
Symphodus melops	Actinopteri	Unclassified	Labriformes	Labridae	Symphodus
Sylvicapra grimmia	Mammalia	Laurasiatheria	Unclassified	Bovidae	Sylvicapra
Suricata suricatta	Mammalia	Laurasiatheria	Carnivora	Herpestidae	Suricata
Stylephorus chordatus	Actinopteri	Unclassified	Stylephoriformes	Stylephoridae	Stylephorus
Strix occidentalis caurina	Aves	Neognathae	Strigiformes	Strigidae	Strix
Strigops habroptilus	Aves	Neognathae	Psittaciformes	Psittacidae	Strigops
Sporophila hypoxantha	Aves	Neognathae	Passeriformes	Thraupidae	Sporophila
Sphenodon punctatus	Unclassified	Lepidosauria	Sphenodontia	Sphenodontidae	Sphenodon
Spheniscus mendiculus	Aves	Neognathae	Sphenisciformes	Spheniscidae	Spheniscus
Spheniscus magellanicus	Aves	Neognathae	Sphenisciformes	Spheniscidae	Spheniscus
Spheniscus humboldti	Aves	Neognathae	Sphenisciformes	Spheniscidae	Spheniscus
Spermophilus dauricus	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Spermophilus
Sparus aurata	Actinopteri	Unclassified	Spariformes	Sparidae	Sparus
Sousa chinensis	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Sousa
Solenodon paradoxus woodi	Mammalia	Laurasiatheria	Insectivora	Solenodontidae	Solenodon
Simochromis diagramma	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Simochromis
Sigmodon hispidus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Sigmodon
Setophaga coronata	Aves	Neognathae	Passeriformes	Parulidae	Setophaga
Seriola rivoliana	Actinopteri	Unclassified	Carangiformes	Carangidae	Seriola
Seriola quinqueradiata	Actinopteri	Unclassified	Carangiformes	Carangidae	Seriola
Seriola lalandi dorsalis	Actinopteri	Unclassified	Carangiformes	Carangidae	Seriola
Seriola dumerili	Actinopteri	Unclassified	Carangiformes	Carangidae	Seriola
Semnopithecus entellus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Semnopithecus
Sebastes steindachneri	Actinopteri	Unclassified	Perciformes	Sebastidae	Sebastes
Sebastes minor	Actinopteri	Unclassified	Perciformes	Sebastidae	Sebastes
Sebastes aleutianus	Actinopteri	Unclassified	Perciformes	Sebastidae	Sebastes
Scyliorhinus torazame	Chondrichthyes	Galeoidea	Carcharhiniformes	Scyliorhinidae	Scyliorhinus
Scophthalmus maximus	Actinopteri	Unclassified	Pleuronectiformes	Scophthalmidae	Scophthalmus
Scalopus aquaticus	Mammalia	Laurasiatheria	Insectivora	Talpidae	Scalopus
Sardina pilchardus	Actinopteri	Unclassified	Clupeiformes	Clupeidae	Sardina
Saxicola maurus	Aves	Neognathae	Passeriformes	Muscicapidae	Saxicola
Sardina pilchardus	Actinopteri	Unclassified	Clupeiformes	Clupeidae	Sardina
Salvelinus alpinus	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Salvelinus
Salvator merianae	Unclassified	Lepidosauria	Squamata	Teiidae	Salvator
Salarias fasciatus	Actinopteri	Unclassified	Blenniiformes	Blenniidae	Salarias
Saiga tatarica	Mammalia	Laurasiatheria	Unclassified	Bovidae	Saiga
Saguinus imperator	Mammalia	Euarchontoglires	Primates	Cebidae	Saguinus
Rondeletia loricata	Actinopteri	Unclassified	Beryciformes	Rondeletiidae	Rondeletia
Rhizomys pruinosus	Mammalia	Euarchontoglires	Rodentia	Spalacidae	Rhizomys
Rhinolophus sinicus	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus
Rhinella marina	Amphibia	Batrachia	Anura	Bufonidae	Rhinella
Rhea americana	Aves	Palaeognathae	Rheiformes	Rheidae	Rhea
Reinhardtius hippoglossoides	Actinopteri	Unclassified	Pleuronectiformes	Pleuronectidae	Reinhardtius
Regalecus glesne	Actinopteri	Unclassified	Lampriformes	Regalecidae	Regalecus
Redunca redunca	Mammalia	Laurasiatheria	Unclassified	Bovidae	Redunca
Recurvirostra avosetta	Aves	Neognathae	Charadriiformes	Recurvirostridae	Recurvirostra
Raphicerus campestris	Mammalia	Laurasiatheria	Unclassified	Bovidae	Raphicerus
Rangifer tarandus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Rangifer
Rana catesbeiana	Amphibia	Batrachia	Anura	Ranidae	Rana
Pyxicephalus adspersus	Amphibia	Batrachia	Anura	Pyxicephalidae	Pyxicephalus
Pygoscelis papua	Aves	Neognathae	Sphenisciformes	Spheniscidae	Pygoscelis
Pygoscelis antarcticus	Aves	Neognathae	Sphenisciformes	Spheniscidae	Pygoscelis
Pygathrix nemaeus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Pygathrix
Pungitius pungitius	Actinopteri	Unclassified	Perciformes	Gasterosteidae	Pungitius
Puma concolor	Mammalia	Laurasiatheria	Carnivora	Felidae	Puma
Pteronura brasiliensis	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Pteronura
Pterocnemia pennata	Aves	Palaeognathae	Rheiformes	Rheidae	Pterocnemia
Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Pseudonaja textilis	Unclassified	Lepidosauria	Squamata	Elapidae	Pseudonaja
Pseudois nayaur	Mammalia	Laurasiatheria	Unclassified	Bovidae	Pseudois
Psammomys obesus	Mammalia	Euarchontoglires	Rodentia	Muridae	Psammomys
Przewalskium albirostris	Mammalia	Laurasiatheria	Unclassified	Cervidae	Przewalskium
Protobothrops flavoviridis	Unclassified	Lepidosauria	Squamata	Viperidae	Protobothrops
Prolemur simus	Mammalia	Euarchontoglires	Primates	Lemuridae	Prolemur
Procapra przewalskii	Mammalia	Laurasiatheria	Unclassified	Bovidae	Procapra
Prionailurus bengalensis euptilurus	Mammalia	Laurasiatheria	Carnivora	Felidae	Prionailurus
Poropuntius huangchuchieni	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Poropuntius
Pogona vitticeps	Unclassified	Lepidosauria	Squamata	Agamidae	Pogona
Podocnemis expansa	Unclassified	Unclassified	Testudines	Podocnemididae	Podocnemis
Podarcis muralis	Unclassified	Lepidosauria	Squamata	Lacertidae	Podarcis
Plecturocebus donacophilus	Mammalia	Euarchontoglires	Primates	Pitheciidae	Plecturocebus
Platysternon megacephalum	Unclassified	Unclassified	Testudines	Platysternidae	Platysternon
Platanista minor	Mammalia	Laurasiatheria	Cetacea	Platanistidae	Platanista
Mugil soiuy	Actinopteri	Unclassified	Mugiliformes	Mugilidae	Mugil
Pithecia pithecia	Mammalia	Euarchontoglires	Primates	Pitheciidae	Pithecia
Pipra filicauda	Aves	Neognathae	Passeriformes	Pipridae	Pipra
Pipistrellus pipistrellus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Pipistrellus
Phyllostomus discolor	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Phyllostomus
Phycis phycis	Actinopteri	Unclassified	Gadiformes	Phycidae	Phycis
Phycis blennoides	Actinopteri	Unclassified	Gadiformes	Phycidae	Phycis
Phocoena phocoena	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Phocoena
Philantomba maxwellii	Mammalia	Laurasiatheria	Unclassified	Bovidae	Philantomba
Phasianus colchicus	Aves	Neognathae	Galliformes	Phasianidae	Phasianus
Phascolarctos cinereus	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos
Phalacrocorax harrisi	Aves	Neognathae	Pelecaniformes	Phalacrocoracidae	Nannopterum
Petromus typicus	Mammalia	Euarchontoglires	Rodentia	Petromuridae	Petromus
Peromyscus polionotus subgriseus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Peromyscus
Perca fluviatilis	Actinopteri	Unclassified	Perciformes	Percidae	Perca
Perca flavescens	Actinopteri	Unclassified	Perciformes	Percidae	Perca
Pelusios castaneus	Unclassified	Unclassified	Testudines	Pelomedusidae	Pelusios
Patagioenas fasciata	Aves	Neognathae	Columbiformes	Columbidae	Patagioenas
Passer domesticus	Aves	Neognathae	Passeriformes	Passeridae	Passer
Parotia lawesii	Aves	Neognathae	Passeriformes	Paradisaeidae	Parotia
Paroedura picta	Unclassified	Lepidosauria	Squamata	Gekkonidae	Paroedura
Paramormyrops kingsleyae	Actinopteri	Unclassified	Osteoglossiformes	Mormyridae	Paramormyrops
Parambassis ranga	Actinopteri	Unclassified	Unclassified	Ambassidae	Pseudambassis
Paralichthys olivaceus	Actinopteri	Unclassified	Pleuronectiformes	Paralichthyidae	Paralichthys
Paradoxurus hermaphroditus	Mammalia	Laurasiatheria	Carnivora	Viverridae	Paradoxurus
Paradisaea rubra	Aves	Neognathae	Passeriformes	Paradisaeidae	Paradisaea
Paradisaea raggiana	Aves	Neognathae	Passeriformes	Paradisaeidae	Paradisaea
Parablennius parvicornis	Actinopteri	Unclassified	Blenniiformes	Blenniidae	Parablennius
Panthera pardus	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera
Panthera onca	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera
Pangasianodon hypophthalmus	Actinopteri	Characiphysae	Siluriformes	Pangasiidae	Pangasianodon
Pagrus major	Actinopteri	Unclassified	Spariformes	Sparidae	Pagrus
Ovis aries	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ovis
Ourebia ourebi	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ourebia
Oryzias melastigma	Actinopteri	Atherinomorphae	Beloniformes	Adrianichthyidae	Oryzias
Oryx gazella	Mammalia	Laurasiatheria	Unclassified	Bovidae	Oryx
Oryx gazella	Mammalia	Laurasiatheria	Unclassified	Bovidae	Oryx
Ornithorhynchus anatinus	Mammalia	Unclassified	Monotremata	Ornithorhynchidae	Ornithorhynchus
Oplegnathus fasciatus	Actinopteri	Unclassified	Centrarchiformes	Oplegnathidae	Oplegnathus
Onychomys torridus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Onychomys
Ondatra zibethicus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ondatra
Oncorhynchus tshawytscha	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Oncorhynchus
Oncorhynchus kisutch	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Oncorhynchus
Odocoileus virginianus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Odocoileus
Odocoileus hemionus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Odocoileus
